Source Well,Destination Well,Transfer Volume
A2,AP5,2.5
A2,AP6,2.5
A2,AP7,2.5
A2,AP8,2.5
A2,AP9,2.5
A2,AP10,2.5
A2,AP11,2.5
A2,AP12,2.5
A2,AP13,2.5
A2,AP14,2.5
A2,AP18,2.5
A2,AP19,2.5
A2,AP20,2.5
A2,AP21,2.5
A2,AP22,2.5
A2,AP23,2.5
A2,AP24,2.5
A2,AP25,2.5
A2,AP26,2.5
A2,AP27,2.5
A2,AP28,2.5
A2,AP29,2.5
A2,AP30,2.5
A2,AP31,2.5
A2,AP32,2.5
A2,AP33,2.5
A2,AP34,2.5
A2,AP35,2.5
A2,AP36,2.5
A2,AP37,2.5
A2,AP38,2.5
A2,AP39,2.5
A2,AP40,2.5
A2,AP41,2.5
A2,AP42,2.5
A2,AP43,2.5
A2,AP48,2.5
A2,AP49,2.5
A2,AP50,2.5
A2,AP51,2.5
A2,AP52,2.5
A2,AP53,2.5
A2,AP54,2.5
A2,AP55,2.5
A2,AP60,2.5
A2,AP61,2.5
A2,AP62,2.5
A2,AP63,2.5
A2,AP66,2.5
A2,AP67,2.5
A2,AP68,2.5
A2,AP69,2.5
A2,AP70,2.5
A2,AP71,2.5
A2,AP72,2.5
A2,AP73,2.5
A2,AP74,2.5
A2,AP75,2.5
A2,AP76,2.5
A2,AP77,2.5
A2,AP78,2.5
A2,AP79,2.5
A2,AP91,2.5
A2,AP94,2.5
A2,AP95,2.5
A2,AP96,2.5
A2,AP97,2.5
A2,AP98,2.5
A2,AP102,2.5
A2,AP107,2.5
A2,AP110,2.5
A2,AP111,2.5
A2,AP112,2.5
A2,AP113,2.5
A2,AP114,2.5
A2,AP115,2.5
A2,AP116,2.5
A2,AP123,2.5
A2,AP124,2.5
A2,AP125,2.5
A2,AP126,2.5
A2,AP127,2.5
A2,AP128,2.5
A2,AP129,2.5
A2,AP130,2.5
A2,AP131,2.5
A2,AP132,2.5
A2,AP133,2.5
A2,AP134,2.5
A2,AP135,2.5
A2,AP136,2.5
A2,AP137,2.5
A2,AP138,2.5
A2,AP139,2.5
A2,AP140,2.5
A2,AP141,2.5
A2,AP142,2.5
A2,AP143,2.5
A2,AP144,2.5
A2,AP145,2.5
A2,AP146,2.5
A2,AP147,2.5
A2,AP148,2.5
A2,AP149,2.5
A2,AP150,2.5
A2,AP151,2.5
A2,AP152,2.5
A2,AP153,2.5
A2,AP154,2.5
A2,AP155,2.5
A2,AP156,2.5
A2,AP157,2.5
A2,AP158,2.5
A2,AP159,2.5
A2,AP160,2.5
A2,AP161,2.5
A2,AP162,2.5
A2,AP163,2.5
A2,AP164,2.5
A2,AP165,2.5
A2,AP166,2.5
A2,AP167,2.5
A2,AP168,2.5
A2,AP169,2.5
A2,AP171,2.5
A2,AP172,2.5
A2,AP175,2.5
A2,AP176,2.5
A2,AP180,2.5
A2,AP181,2.5
A2,AP182,2.5
A2,AP183,2.5
A2,AP184,2.5
A2,AP185,2.5
A2,AP186,2.5
A2,AP187,2.5
A2,AP188,2.5
A2,CH4,2.5
A2,CH5,2.5
A2,CH6,2.5
A2,CH7,2.5
A2,CH8,2.5
A2,CH9,2.5
A2,CH10,2.5
A2,CH11,2.5
A2,CH12,2.5
A2,CH13,2.5
A2,CH14,2.5
A2,CH15,2.5
A2,CH16,2.5
A2,CH17,2.5
A2,CH18,2.5
A2,CH19,2.5
A2,CH20,2.5
A1,CH21,2.5
A2,CH22,2.5
A2,CH23,2.5
A2,CH24,2.5
A2,CH25,2.5
A2,CH26,2.5
A2,CH27,2.5
A1,CH28,2.5
A1,CH29,2.5
A2,CH30,2.5
A2,CH31,2.5
A2,CH32,2.5
A2,CH33,2.5
A2,CH34,2.5
A2,CH35,2.5
A2,CH36,2.5
A2,CH37,2.5
A2,CH38,2.5
A2,CH39,2.5
A2,CH40,2.5
A2,CH41,2.5
A2,CH42,2.5
A2,CH43,2.5
A2,CH44,2.5
A2,CH45,2.5
A1,CH46,2.5
A2,CH47,2.5
A2,CH48,2.5
A2,CH49,2.5
A1,CH50,2.5
A2,CH51,2.5
A2,CH52,2.5
A2,CH53,2.5
A2,CH54,2.5
A2,CH55,2.5
A2,CH56,2.5
A2,CH57,2.5
A2,CH58,2.5
A2,CH59,2.5
A2,CH60,2.5
A2,CH61,2.5
A2,CH62,2.5
A2,CH63,2.5
A2,CH64,2.5
A2,CH65,2.5
A2,CH66,2.5
A2,CH67,2.5
A2,CH68,2.5
A2,CH69,2.5
A2,CH70,2.5
A2,CH71,2.5
A2,CH72,2.5
